Summation Options,Geography,Highest educational level,Count
Person weighted,10102001: Ward 1,Diploma with less than Grade 12 / Std 10,0.0184639
Person weighted,10102001: Ward 1,Certificate with Grade 12 / Std 10,0.1292476
Person weighted,10102001: Ward 1,Diploma with Grade 12 / Std 10,0.2311607
Person weighted,10102001: Ward 1,Higher Diploma,0.1846395
Person weighted,10102001: Ward 1,Post Higher Diploma Masters; Doctoral Diploma,0
Person weighted,10102001: Ward 1,Bachelors Degree,0.2318835
Person weighted,10102001: Ward 1,Bachelors Degree and Post graduate Diploma,0.0553918
Person weighted,10102001: Ward 1,Honours degree,0.1846395
Person weighted,10102001: Ward 1,Higher Degree Masters / PhD,0.1477116
Person weighted,10102001: Ward 1,Other,0.0465212
Person weighted,10102001: Ward 1,No schooling,7.4592882
Person weighted,10102001: Ward 1,Unspecified,0
Person weighted,10102001: Ward 1,Not applicable,10.9707063
Person weighted,10102001: Ward 1,Total,100
Person weighted,10102002: Ward 2,Gade 0,2.78343
Person weighted,10102002: Ward 2,Grade 1 / Sub A,2.6290202
Person weighted,10102002: Ward 2,Grade 2 / Sub B,1.8393176
Person weighted,10102002: Ward 2,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,2.6412771
Person weighted,10102002: Ward 2,Grade 4 / Std 2,2.9817845
Person weighted,10102002: Ward 2,Grade 5 / Std 3/ABET 2,3.335018
Person weighted,10102002: Ward 2,Grade 6 / Std 4,4.0908429
Person weighted,10102002: Ward 2,Grade 7 / Std 5/ ABET 3,5.4756481
Person weighted,10102002: Ward 2,Grade 8 / Std 6 / Form 1,8.7444947
Person weighted,10102002: Ward 2,Grade 9 / Std 7 / Form 2/ ABET 4,7.3299511
Person weighted,10102002: Ward 2,Grade 10 / Std 8 / Form 3,8.4994216
Person weighted,10102002: Ward 2,Grade 11 / Std 9 / Form 4,4.3362774
Person weighted,10102002: Ward 2,Grade 12 / Std 10 / Form 5,18.4967656
Person weighted,10102002: Ward 2,NTC I / N1/ NIC/ V Level 2,0.0757459
Person weighted,10102002: Ward 2,NTC II / N2/ NIC/ V Level 3,0.2327769
Person weighted,10102002: Ward 2,NTC III /N3/ NIC/ V Level 4,0.2440612
Person weighted,10102002: Ward 2,N4 / NTC 4,0.2073614
Person weighted,10102002: Ward 2,N5 /NTC 5,0.0375758
Person weighted,10102002: Ward 2,N6 / NTC 6,0.096981
Person weighted,10102002: Ward 2,Certificate with less than Grade 12 / Std 10,0.0592181
Person weighted,10102002: Ward 2,Diploma with less than Grade 12 / Std 10,0.3878881
Person weighted,10102002: Ward 2,Certificate with Grade 12 / Std 10,0.413031
Person weighted,10102002: Ward 2,Diploma with Grade 12 / Std 10,0.8948147
Person weighted,10102002: Ward 2,Higher Diploma,0.7543811
Person weighted,10102002: Ward 2,Post Higher Diploma Masters; Doctoral Diploma,0.1446635
Person weighted,10102002: Ward 2,Bachelors Degree,0.5331032
Person weighted,10102002: Ward 2,Bachelors Degree and Post graduate Diploma,0.2175942
Person weighted,10102002: Ward 2,Honours degree,0.3199051
Person weighted,10102002: Ward 2,Higher Degree Masters / PhD,0.2044013
Person weighted,10102002: Ward 2,Other,0.0583515
Person weighted,10102002: Ward 2,No schooling,3.3609397
Person weighted,10102002: Ward 2,Unspecified,0
Person weighted,10102002: Ward 2,Not applicable,18.5739575
Person weighted,10102002: Ward 2,Total,100
Person weighted,10102003: Ward 3,Gade 0,3.4264669
Person weighted,10102003: Ward 3,Grade 1 / Sub A,3.4784536
Person weighted,10102003: Ward 3,Grade 2 / Sub B,3.0282343
Person weighted,10102003: Ward 3,Grade 3 / Std 1/ABET 1Kha Ri Gude;SANLI,3.0230117
Person weighted,10102003: Ward 3,Grade 4 / Std 2,3.8734554
Person weighted,10102003: Ward 3,Grade 5 / Std 3/ABET 2,4.167922
Person weighted,10102003: Ward 3,Grade 6 / Std 4,5.4530992
Person weighted,10102003: Ward 3,Grade 7 / Std 5/ ABET 3,8.0492651
Person weighted,10102003: Ward 3,Grade 8 / Std 6 / Form 1,7.971127
Person weighted,10102003: Ward 3,Grade 9 / Std 7 / Form 2/ ABET 4,7.7932635
Person weighted,10102003: Ward 3,Grade 10 / Std 8 / Form 3,8.3096911
Person weighted,10102003: Ward 3,Grade 11 / Std 9 / Form 4,5.4192417
Person weighted,10102003: Ward 3,Grade 12 / Std 10 / Form 5,13.8276264
Person weighted,10102003: Ward 3,NTC I / N1/ NIC/ V Level 2,0.1825461
Person weighted,10102003: Ward 3,NTC II / N2/ NIC/ V Level 3,0.0636612
